"ACC","Accompanied Passenger"
"ACI","ACI"
"ACP","ACP"
"ADA","Agent Discount AD75N1"
"ADC","ADC"
"ADD","Adult with Discount"
"ADG","ADG"
"ADN","Agent Discount AD50N1"
"ADR","Adult Resident"
"ADT","Adult"
"ADV","Advocate"
"AEB","Aviation employees on business"
"AEF","Aviation employees and family"
"AEP","Assistant of Member of European Parliament"
"AEV","Aviation employees"
"AGC","AGC"
"AGT","Agent"
"AGV","AGV"
"AIC","AIC"
"AIV","AIV"
"AJI","AJI"
"ANN","Age Restricted Companion"
"APA","Airpass Adult"
"APC","Airpass Child"
"API","Airpass Infant Without Seat"
"APS","Airpass Infant with Seat"
"ARP","ARP"
"ART","ART"
"ASB","Standby Passenger"
"ASC","ASC"
"ASF","Air-Sea Fare"
"ASI","ASI"
"AST","Airline Staff Standby"
"ATB","ATB"
"ATC","ATC"
"ATD","ATD"
"ATL","ATL"
"ATP","PFA/PFS/JCB/SEA Blended"
"AWA","AWA"
"BAG","Baggage"
"BDG","BDG"
"BGV","BGV"
"BIC","BIC"
"BIV","BIV"
"BLD","Blind Passenger"
"BNA","BNA"
"BNC","BNC"
"BNN","Adult with Age Restriction"
"BPK","BPK"
"BRV","Bereavement Passenger"
"BUD","Airline Buddy Standby"
"CBC","CBC"
"CBI","CBI"
"CBO","CBO"
"CCA","Children of aviation employees"
"CCH","Card Carrying Holder(s)"
"CCM","Card Carrying Member"
"CCR","Card Carrying Holder Resident"
"CDT","Discount Cardholder France and Overseas Depts"
"CEJ","CEJ"
"CEV","Leisure Cardholder w/in France"
"CFM","Cardholder w/in France"
"CGV","CGV"
"CHD","CHD"
"CHR","Child Resident"
"CIC","CIC"
"CIV","CIV"
"CJD","CJD"
"CJE","CJE"
"CJH","CJH"
"CJI","CJI"
"CJV","CJV"
"CLG","Clergy"
"CMA","Adult with Companion"
"CMM","Commuter"
"CMP","Companion"
"CMR","Adult Resident with Companion"
"CMS","Resident Companion"
"CMX","CMX"
"CNA","CNA"
"CNE","CNE"
"CNF","Convention psgr infant without a seat"
"CNN","Accompanied Child"
"CNT","Carnet Coupon Travel"
"CNV","Convention Passenger"
"CPN","Coupon Discount"
"CRR","CRR"
"CSB","Child Standby"
"CTZ","Category Z"
"CUR","CUR"
"CVN","Convention psgr child"
"DAJ","Disabled passenger assistant"
"DAT","Attendant accompanying a disabled passenger"
"DCD","Disabled child"
"DCP","Disabled childs companion"
"DDG","DDG"
"DEF","DEF"
"DEP","Deportee"
"DGC","DGC"
"DGK","DGK"
"DGL","DGL"
"DGM","DGM"
"DGN","DGN"
"DGV","DGV"
"DHC","Dead head crew"
"DIC","DIC"
"DIS","Disabled person"
"DIV","DIV"
"DLU","DLU"
"DNN","Child of European Parliament Member"
"DOD","Department of Defense Passenger"
"EAC","EAC"
"EAQ","Trade Unions"
"EAT","Aviation Administration"
"EAV","Unemployed"
"ECH","Electronic Ticket discount Child"
"EDG","EDG"
"EDT","Electronic Ticket discount Adult"
"EGC","EGC"
"EIV","EIV"
"EMA","EMA"
"EMC","EMC"
"EMF","EMF"
"EMI","Emigrant"
"EMN","Emigrant child"
"EMP","EMP"
"EMS","EMS"
"EMU","EMU"
"ENF","Emigrant Infant Without Seat"
"ENN","Group Inclusive Tour Child"
"ENO","ENO"
"ENP","Energy personnel"
"ENS","Emigrant infant with a seat"
"ENU","ENU"
"EPA","EPA"
"EPC","EPC"
"EPI","EPI"
"EPU","EPU"
"ESC","ESC"
"EVP","Extra volume passenger"
"EYC","EYC"
"FAE","FAE"
"FBA","Numerous Family 1 Discount Adult"
"FBC","Numerous Family 1 Discount Child"
"FBI","Numerous Family 1 Discount Infant"
"FCC","ADT/JCB/ITX/PFA/NEG Blended"
"FCP","Unaccompanied frequent flyer child - preferred"
"FCU","Unaccompanied frequent flyer child"
"FDG","FDG"
"FEE","FEE"
"FFA","FFA"
"FFC","FFC"
"FFD","FFD"
"FFE","FFE"
"FFF","FFF"
"FFP","Frequent Flyer - Preferred"
"FFY","Frequent Flyer"
"FGA","Numerous Family 2 Discount Adult"
"FGC","Numerous Family 2 Discount Child"
"FGI","Numerous Family 2 Discount Infant without seat"
"FGV","FGV"
"FHA","Numerous Family Honor Discount Adult"
"FHC","Numerous Family Honor Discount Child"
"FIA","Fiance/Fiancee"
"FIC","FIC"
"FIF","Family Intra-France"
"FIP","Frequent flyer infant without a seat - preferred"
"FIS","Frequent flyer infant with a seat"
"FIV","FIV"
"FLM","FLM - Private fare"
"FLY","FLY"
"FNC","Undefined New Private Passenger Type"
"FNF","Family Plan Infant Without Seat"
"FNN","Family Plan Child"
"FNP","Frequent flyer child - preferred"
"FNT","FNT"
"FSA","Frequent flyer status level 1"
"FSB","Frequent flyer status level 2"
"FSC","Frequent flyer status level 3"
"FSD","Frequent flyer status level 4"
"FSE","Frequent flyer status level 5"
"FSF","Frequent flyer status level 6"
"FSG","Frequent flyer status level 7"
"FSH","Frequent flyer status level 8"
"FSP","Frequent flyer infant with a seat - preferred"
"FTE","FTE"
"FXP","Flexi plus passenger"
"FXT","Flexi time passanger"
"GBE","Great Britain Exempt"
"GCF","Government Contract Passenger"
"GCH","GCH"
"GCT","City/County Government Travel"
"GDG","GDG"
"GDP","Government Employee Dependent"
"GEX","Government Exchange"
"GGC","GGC"
"GGV","GGV"
"GGZ","GGZ"
"GIC","GIC"
"GIF","Group inclusive tour infant without a seat"
"GIS","Group inclusive tour infant with a seat"
"GIT","Group Inclusive Tour"
"GIV","GIV"
"GIY","Group Inclusive Tour Youth"
"GLA","GLA Private"
"GLC","GLC Private youth/student"
"GLI","GLI Private"
"GLN","GLN Private senior"
"GLR","GLR Private adult"
"GLS","GLS Private senior"
"GLY","GLY Private youth/student"
"GMZ","GMZ"
"GNN","Group Child"
"GRI","Group infant without a seat"
"GRP","Group"
"GRS","Group infant with a seat"
"GSP","Group School Party"
"GST","State Government Passenger"
"GVA","Group Vocational Training Trips For Passenger Agnt"
"GVB","GVB"
"GVM","GVM"
"GVT","Government Travel"
"GVZ","GVZ"
"GYT","Group Youth"
"HAJ","Hajj visa holding passenger"
"HDA","HDA"
"HDG","HDG"
"HDH","HDH"
"HDL","HDL"
"HEC","HEC"
"HEH","HEH"
"HEM","HEM"
"HGC","HGC"
"HGV","HGV"
"HIC","HIC"
"HIV","HIV"
"HNA","HNA"
"HNN","HNN"
"HOF","Head of Family"
"ICF","Incentive certificates infant without seat"
"ICN","Incentive certificates child"
"ICP","Incentive Certificates"
"IDG","IDG"
"IEP","IEP"
"IGC","IGC"
"IGV","IGV"
"IIC","IIC"
"IIV","IIV"
"IJI","IJI"
"INA","INA"
"INC","INC"
